인천경찰청(예술회관역) 앞 버스정류장 (39207),37.449061,126.701084,6.83
간석오거리역(인천1호선) 8번 출구 메가커피 앞 버스정류장 (39449),37.467538,126.70653,17.23
메이루즈커낼파크뷰 243동 앞 버스정류장 (42762),37.536017,126.65404,3.03
엑슬루타워 버스정류장 (42836),37.530074,126.65241,3.2
한일베라체 버스정류장 (42839),37.530828,126.640731,0.73
청호 초 · 중학교 앞 (꿈에그린 버스정류장) (42860),37.538322,126.640701,1.9
센텀로제비앙 버스정류장 (경연초 · 중학교 건너편) (89286),37.538177,126.624686,3.17
자이더테라스 2단지 버스정류장 (89460),37.52399,126.626485,4.13
화성파크드림후문 버스정류장 (35659),37.492509,126.562071,3.9
한양수자인후문 버스정류장 (35537),37.490104,126.552822,3.83
금호어울림2차 버스정류장 (넙디마을입구)​​ (35597),37.482359,126.506807,1.87
운서역 환승공영주차장 앞 버스정류장 (35242),37.494012,126.493175,5.13
가양역 9번 출구 전방 80m 버스정류장​ (16259),37.561613,126.853827,6.03
우장산역 3번 출구 전방 120m  버스정류장 (16211),37.547273,126.836185,1.6
화곡역 5번 출구 전방 80m GS편의점 앞 버스정류장 (16205),37.540676,126.841026,10.2
까치산역 4번 출구 앞 버스정류장​ (16479),37.53265,126.846035,14.7
부천남부역 다이소 앞 버스정류장 (12051),37.483328,126.781322,8.1
중동팰리스카운티 아파트 앞 버스정류장​ (11163),37.488367,126.766894,5.77
송내 투나 앞 버스정류장​ (11059),37.488564,126.755142,3.87
부개인우구역공원 앞 버스정류장 (40329),37.493835,126.735706,7.27
부평119안전센터 앞​,37.492169,126.723299,7.57
은지초등학교사거리 버스정류장(42365),37.56658,126.6825,0.77
서해아파트 버스정류장(42355),37.56566,126.6769,1.37
간재울초등학교 버스정류장(42347),37.56068,126.6731,1.5
인천아시아드주경기장(동문) 버스정류장(89354),37.54966,126.6688,3.4
신흥시장 버스정류장(11551),37.51519,126.7693,1.37
미래타운5단지 501동 앞 버스정류장(40662),37.51709,126.7444,4.27
갈산새마을금고 버스정류장(40635),37.51796,126.7296,4.63
청천치안센터 버스정류장(40533),37.51715,126.7041,4.57
한양쇼핑 버스정류장(40333),37.50454,126.7017,2.17
가정LH3단지 정문앞 버스정류장(89041),37.53102,126.6658,2.97
루원시티프라디움 버스정류장(89150),37.52744,126.6681,0.57
초록마트 앞 버스정류장(42218),37.51969,126.6689,6.93
월드메르디앙아파트 버스정류장(42163),37.51209,126.6684,1.87
경남아너스빌아파트 버스정류장(42111),37.50055,126.6677,4.6
문학초등학교 버스정류장(37110),37.43872,126.6826,3.5
동아풍림아파트 버스정류장(37037),37.44161,126.6609,2.1
금호아파트 버스정류장(37026),37.44866,126.6353,1.93
현대유비스병원 앞 버스정류장(37266),37.46162,126.6427,6.93
송림동 동산휴먼시아2단지 버스정류장(36030),37.474215,126.649028,1.57
풍무역 1번출구,37.612774,126.732212,2.07
사우역 풍년마을 2단지 청구한라아파트 버스정류장 (35918),37.621806,126.719175,3
걸포북변역 1번 출구 버스정류장 (35610),37.63305,126.689854,1.43
장기역 1번출구 100m 전방 버스정류장 (35501),37.642858,126.659309,5.8
구래역사거리 KB국민은행 앞 버스정류장 (35754),37.642895,126.625003,8.07
마포구청역 8번 출구,37.565294,126.894282,9.47
망원전철역 버스정류장 (14595),37.556713,126.902029,5.5
홀트아동복지회 버스정류장 (14218),37.548999,126.912083,10.5
도원역 1번 출구 100m 후방 버스정류장(37549),37.468205,126.641527,3.4
맥도날드 동인천점 앞 버스정류장 (35185),37.475713,126.622878,1.3
신포시장 신포프라자약국 앞 버스정류장 (35254),37.47234,126.620493,2.17
인천역 3번 출구 버스정류장 (35179),37.477684,126.601092,1.37
화수동 성당,37.483672,126.619707,2.33
서창 119 안전센터 버스정류장 (39899),37.422933,126.75133,1.77
서창센트럴푸르지오 501동 버스정류장 (39903),37.428976,126.750577,1.57
